 ,Area,Mean,Min,Max,X,Y,Slice
103,0,133,133,133,6.000,8.000,5
104,0,134,134,134,8.000,8.000,5
105,0,137,137,137,8.000,6.000,5
106,0,136,136,136,4.000,2.000,5
107,0,136,136,136,6.000,6.000,5
108,0,117,117,117,205.333,608.333,5
109,0,105,105,105,166.667,676.333,5
110,0,206,206,206,808.000,632.333,5
111,0,88,88,88,774.667,550.000,6
112,0,134,134,134,4.000,8.000,6
113,0,48,48,48,674.667,531.333,6
114,0,138,138,138,725.333,619.333,6
115,0,116,116,116,817.333,607.333,6
116,0,155,155,155,850.667,608.667,6
117,0,95,95,95,573.333,496.667,6
118,0,70,70,70,445.333,487.333,6
119,0,139,139,139,446.667,598.000,6
120,0,83,83,83,320.000,598.000,6
121,0,111,111,111,296.000,694.000,6
122,0,102,102,102,312.000,404.000,6
123,0,67,67,67,182.000,334.000,6
124,0,134,134,134,8.000,2.000,6
125,0,136,136,136,8.000,8.000,6
126,0,136,136,136,4.000,6.000,6
127,0,136,136,136,8.000,8.000,6
128,0,136,136,136,4.000,6.000,6
129,0,136,136,136,4.000,6.000,6
130,0,128,128,128,284.000,562.000,6
131,0,103,103,103,220.000,658.000,6
132,0,136,136,136,6.000,4.000,6
133,0,137,137,137,4.000,6.000,7
134,0,137,137,137,4.000,6.000,7
135,0,138,138,138,786.000,577.000,7
136,0,71,71,71,813.000,671.000,7
137,0,100,100,100,860.000,645.000,7
138,0,137,137,137,2.333,1.667,7
139,0,38,38,38,682.000,514.000,7
140,0,40,40,40,582.000,483.000,7
141,0,29,29,29,645.000,565.000,7
142,0,163,163,163,525.000,526.000,7
143,0,65,65,65,541.000,641.000,7
144,0,110,110,110,442.667,464.667,7
145,0,56,56,56,368.000,355.333,7
146,0,138,138,138,0.000,4.000,7
147,0,137,137,137,2.333,1.667,7
148,0,134,134,134,2.000,2.000,7
149,0,133,133,133,3.667,2.333,7
150,0,134,134,134,2.333,2.333,7
151,0,138,138,138,3.333,3.000,7
152,0,91,91,91,504.000,531.333,7
153,0,59,59,59,568.000,612.667,7
154,0,217,217,217,880.000,639.333,7
